98 4 -300 -58 1487 0 1870 -116 201 0 571 -75 201 -58 -341 -116 -358 -75 -300 65 16 0.0007485309999999412
99 4 -35 4088 3282 1689 2495 4088 2399 1593 3282 -34 -14 7178 0 1689 -20 7178 -1 65 16 0.0007402100000000189
100 4 0 2710 -5 1936 0 -131 -136 1936 -188 -183 0 -341 2710 -138 -131 -321 -183 65 15 0.0007459229999999817
101 4 -304 5818 4187 2418 4049 5818 3400 1769 4187 -302 -142 6154 0 2418 -160 6154 -2 65 16 0.0007346599999999981
103 4 0 17186 -3 1289 0 -104 -107 1289 -125 -122 0 -350 17186 -144 -104 -266 -122 65 15 0.0007266859999999209
105 4 -427 -105 701 0 3802 -184 2173 0 60 -53 2173 -98 701 -236 3802 -191 60 65 16 0.0007509589999998845
106 4 -337 -23 2229 3248 1019 1353 334 0 4266 -75 1019 0 2229 -145 4266 -192 334 65 16 0.0007314830000000327
108 4 -107 3497 2326 0 4475 -34 1171 3497 -192 -34 -253 3438 2267 0 1171 3438 -107 65 16 0.0007369340000000779
110 4 0 2464 -25 1867 0 -45 -70 1867 -141 -116 0 -286 2464 -78 -45 -194 -116 65 15 0.0007296549999999957
112 4 2413 0 5917 -42 2413 -77 -35 0 -131 -173 2413 -518 0 -518 5917 -138 -35 65 14 0.0007404730000000193
113 4 -370 -56 1402 3499 2097 0 3668 -96 2097 -32 34 0 1402 -120 3668 -250 34 65 16 0.0007352800000000048
115 4 -207 5403 4644 2480 3239 5403 2923 2164 4644 -173 -61 7284 0 2480 -61 -95 3239 65 16 0.0007359559999999821
116 4 -42 3213 2050 0 7144 -21 1163 3213 -74 -53 2050 -21 7144 -161 -32 0 1163 65 16 0.0007294369999999439
117 4 -455 -50 2445 0 4480 -221 2445 -66 2069 0 386 -50 -300 -66 -471 -221 -455 65 16 0.0007364579999999954
122 4 -119 4162 2249 0 5671 -4 1913 4162 -75 2939 1913 0 1026 2939 -250 -4 -119 65 16 0.0007262559999998697
123 4 -122 5875 4233 2273 3915 5875 3602 1960 4233 -81 -36 10052 0 2273 -36 -77 3915 65 16 0.0007405979999999257
124 4 -111 0 7685 -16 2120 0 -47 -63 2120 -127 -111 -169 7685 -105 -47 -216 -111 65 16 0.0007361889999999427
125 4 -199 2136 1644 3619 1975 2467 492 2136 -3 3619 -201 -75 5047 0 1975 -126 5047 65 16 0.0007297490000000018
127 4 -252 -14 11043 0 2285 3980 1695 0 -23 -37 2285 -14 -47 3980 -70 -37 -252 65 16 0.0007361020000000718
128 4 0 3467 -30 2364 0 -141 -171 2364 -214 -184 0 -488 3467 -185 -141 -369 -184 65 15 0.0007445459999999571
129 4 -434 -136 958 3248 2290 0 8979 -76 2290 -2 277 0 958 -210 8979 -224 277 65 16 0.000743272000000017
130 4 -454 5691 4423 2299 3567 5691 3392 2124 4423 -419 -209 6068 0 2299 -209 -244 3567 65 16 0.000741776999999999
